epoch,train_total_loss,train_main_loss,train_smooth_loss,val_total_loss,val_main_loss,val_smooth_loss,lr,epoch_time_sec
1,8.265337642118787,8.23046693923604,0.8375676567595881,28.391243583588395,28.3606771065711,0.7341743559561767,9.997532801828658e-05,78.1403341293335
2,6.89640247745106,6.861500164474704,0.8383267469705186,48.34380050619292,48.31294969861564,0.7410355311571358,9.990133642141359e-05,127.46466636657715
3,8.581675697040316,8.546469942161144,0.8456148026557846,28.17102938314302,28.140529835683886,0.7325674625165264,9.977809823015401e-05,145.77400970458984
4,5.401994574287898,5.367217956034295,0.8353076632897288,28.611555498014976,28.580953115454875,0.7350490197905973,9.960573506572391e-05,144.1231186389923
5,5.454007131022486,5.4191769117758835,0.8365949014581021,29.037553581026035,29.007085944191903,0.7318206654346908,9.93844170297569e-05,145.93451309204102
6,5.348499804054021,5.313869479422626,0.831794004733176,27.794022832229846,27.763618618815514,0.7302928791093348,9.911436253643445e-05,144.9087860584259
7,5.345822365184497,5.311287195874994,0.8295076355835168,27.886291372915597,27.85584514171483,0.7312918916929975,9.879583809693738e-05,147.28549075126648
8,5.106723079109543,5.072232908064114,0.8284274209289121,28.974767579094024,28.944266806036307,0.7326045476933652,9.842915805643157e-05,148.06906867027283
9,5.146776555710456,5.112328853763614,0.8274073327150816,28.835846095890222,28.805505018956584,0.7287898078701298,9.801468428384717e-05,145.60573315620422
10,5.115103705233151,5.080690584647268,0.8265764584534913,28.27935352809301,28.2488953024164,0.7315795081769607,9.75528258147577e-05,148.29239773750305
11,5.206111264479738,5.171729636188478,0.8258207096937303,28.0554820237922,28.025110238679414,0.7294998227316235,9.70440384477113e-05,151.09704995155334
12,5.258598810448973,5.224231348431432,0.8254799623776597,27.760353584830305,27.72993167267191,0.7307219804702372,9.64888242944126e-05,149.39586067199707
13,5.346257333590774,5.31169319508852,0.8302043517664248,28.437237993780638,28.406864893440087,0.7295421656156303,9.588773128419907e-05,148.63471722602844
14,5.222762513304556,5.188077084020612,0.8331169065026842,28.13246057935636,28.10212932914136,0.7285336577404247,9.5241352623301e-05,148.00558757781982
15,5.265370968425843,5.230697558904746,0.8328286376967586,27.733380377550446,27.70305671717482,0.7283460488462645,9.455032620941843e-05,149.2125277519226
16,5.227047007680622,5.19245548463289,0.830861784717095,27.78954185498547,27.759239215123067,0.7278531391394482,9.381533400219321e-05,144.95137977600098
