[Epoch 024] train=2.420462 (main=2.420462, smooth=0.817307) | val=3.727638 (main=3.727638, smooth=0.686093) | lr=8.644843e-05 | time=196.09s
[Epoch 025] train=2.496987 (main=2.496987, smooth=0.815798) | val=4.157172 (main=4.157172, smooth=0.685301) | lr=8.535534e-05 | time=194.65s
[Epoch 026] train=2.461566 (main=2.461566, smooth=0.815485) | val=6.154073 (main=6.154073, smooth=0.686590) | lr=8.422736e-05 | time=200.19s
[Epoch 027] train=2.463729 (main=2.463729, smooth=0.815253) | val=4.466790 (main=4.466790, smooth=0.687449) | lr=8.306559e-05 | time=200.43s
[Epoch 028] train=2.507691 (main=2.507691, smooth=0.816062) | val=3.541849 (main=3.541849, smooth=0.685494) | lr=8.187120e-05 | time=198.55s
[Epoch 029] train=2.466753 (main=2.466753, smooth=0.815006) | val=4.252683 (main=4.252683, smooth=0.686059) | lr=8.064535e-05 | time=196.57s
[Epoch 030] train=2.454979 (main=2.454979, smooth=0.814728) | val=5.432261 (main=5.432261, smooth=0.688699) | lr=7.938926e-05 | time=197.08s
[Epoch 031] train=2.466639 (main=2.466639, smooth=0.815830) | val=3.235390 (main=3.235390, smooth=0.684636) | lr=7.810417e-05 | time=195.14s
[Epoch 032] train=2.500963 (main=2.500963, smooth=0.814595) | val=4.795228 (main=4.795228, smooth=0.687094) | lr=7.679134e-05 | time=193.85s
[Epoch 033] train=2.486491 (main=2.486491, smooth=0.814977) | val=4.086417 (main=4.086417, smooth=0.686274) | lr=7.545207e-05 | time=197.32s
[Epoch 034] train=2.445655 (main=2.445655, smooth=0.814486) | val=3.637572 (main=3.637572, smooth=0.685898) | lr=7.408768e-05 | time=199.40s
[Epoch 035] train=2.440047 (main=2.440047, smooth=0.814079) | val=3.337549 (main=3.337549, smooth=0.688082) | lr=7.269952e-05 | time=196.63s
[Epoch 036] train=2.450768 (main=2.450768, smooth=0.814347) | val=4.240919 (main=4.240919, smooth=0.686752) | lr=7.128896e-05 | time=197.28s
[Epoch 037] train=2.486528 (main=2.486528, smooth=0.815783) | val=4.222404 (main=4.222404, smooth=0.684962) | lr=6.985739e-05 | time=197.16s
[Epoch 038] train=2.451291 (main=2.451291, smooth=0.815550) | val=5.194198 (main=5.194198, smooth=0.687471) | lr=6.840623e-05 | time=195.35s
[Epoch 039] train=2.455044 (main=2.455044, smooth=0.815594) | val=4.774341 (main=4.774341, smooth=0.687620) | lr=6.693690e-05 | time=200.37s
[Epoch 040] train=2.430508 (main=2.430508, smooth=0.815531) | val=5.542781 (main=5.542781, smooth=0.684876) | lr=6.545085e-05 | time=198.82s
[Epoch 041] train=2.460540 (main=2.460540, smooth=0.814731) | val=4.522226 (main=4.522226, smooth=0.686212) | lr=6.394956e-05 | time=199.50s
[Epoch 042] train=2.436292 (main=2.436292, smooth=0.814374) | val=5.074761 (main=5.074761, smooth=0.687316) | lr=6.243449e-05 | time=197.27s
[Epoch 043] train=2.436138 (main=2.436138, smooth=0.814096) | val=3.564816 (main=3.564816, smooth=0.685886) | lr=6.090716e-05 | time=194.72s
[Epoch 044] train=2.438854 (main=2.438854, smooth=0.813794) | val=4.326793 (main=4.326793, smooth=0.686763) | lr=5.936907e-05 | time=175.38s
[Epoch 045] train=2.452604 (main=2.452604, smooth=0.813565) | val=4.478674 (main=4.478674, smooth=0.687212) | lr=5.782172e-05 | time=136.08s
[Epoch 046] train=2.432007 (main=2.432007, smooth=0.814238) | val=5.110655 (main=5.110655, smooth=0.685568) | lr=5.626666e-05 | time=135.78s
[Epoch 047] train=2.437288 (main=2.437288, smooth=0.814307) | val=4.029048 (main=4.029048, smooth=0.685747) | lr=5.470542e-05 | time=136.14s
[Epoch 048] train=2.414671 (main=2.414671, smooth=0.813263) | val=4.634502 (main=4.634502, smooth=0.686501) | lr=5.313953e-05 | time=135.89s
[Epoch 049] train=2.441173 (main=2.441173, smooth=0.813209) | val=5.172332 (main=5.172332, smooth=0.687723) | lr=5.157054e-05 | time=136.22s
[Epoch 050] train=2.436912 (main=2.436912, smooth=0.813162) | val=4.370711 (main=4.370711, smooth=0.686395) | lr=5.000000e-05 | time=135.90s
[Epoch 051] train=2.478021 (main=2.478021, smooth=0.812949) | val=6.834481 (main=6.834481, smooth=0.686597) | lr=4.842946e-05 | time=136.12s
[Epoch 052] train=2.435964 (main=2.435964, smooth=0.812656) | val=5.175866 (main=5.175866, smooth=0.686758) | lr=4.686047e-05 | time=138.04s
