epoch,train_total_loss,train_main_loss,train_smooth_loss,val_total_loss,val_main_loss,val_smooth_loss,lr,epoch_time_sec
1,7.568872711161196,7.543647899068299,0.840826011635241,3.602260097090913,3.5781739786811375,0.8028704508906102,9.997532801828658e-05,68.39661312103271
2,6.129370351997799,6.104269146729234,0.8367071756570765,3.010770887372483,2.986657525770167,0.8037784978405982,9.990133642141359e-05,68.74861478805542
3,6.016956113176523,5.992025230943526,0.8310295332065472,3.3544814468420094,3.330330869347263,0.8050195114342802,9.977809823015401e-05,70.57931971549988
4,6.017770874462002,5.9929087402360315,0.8287380192509238,3.7859356683840413,3.761869730300038,0.8021997324510101,9.960573506572391e-05,68.96117162704468
5,5.98499775559091,5.96017001665378,0.8275907780227645,3.42146368453399,3.397284282654636,0.8059784147408852,9.93844170297569e-05,68.01064085960388
6,5.873918634985239,5.849114273048978,0.8268124416752366,2.854990051726795,2.831069373579033,0.7973559749888247,9.911436253643445e-05,69.38515400886536
7,5.961424242817783,5.936636262827768,0.8262661025140907,2.8810670655601713,2.857038949429635,0.800937235352863,9.879583809693738e-05,69.51306653022766
8,5.828095336681031,5.8033545668904924,0.82469201466898,2.8932671404190367,2.8692484028305256,0.800624721821221,9.842915805643157e-05,70.19060468673706
9,5.904014585335158,5.879325708501508,0.8229628009854353,3.3962506912764763,3.3721046172365865,0.8048683172214361,9.801468428384717e-05,70.09476041793823
10,5.852451409216566,5.827781729595979,0.8223215808341656,2.895479926902297,2.8714333269098975,0.8015539483894125,9.75528258147577e-05,70.52868270874023
11,5.863044523919768,5.838373108953305,0.8223801501587458,2.8921899423661217,2.8682755497869605,0.7971464330020975,9.70440384477113e-05,70.4948320388794
12,5.882642457798737,5.858008129148144,0.8211450353458032,3.028269880276213,3.0042074360340165,0.8020817291803859,9.64888242944126e-05,69.95473909378052
13,5.865409998284899,5.84077629116588,0.8211237308779121,4.1839338810383975,4.159907975188054,0.8008636151344808,9.588773128419907e-05,70.52989459037781
14,6.008900402029799,5.984241001307414,0.8219799237699263,2.996441255460315,2.972403383481286,0.8012622919359773,9.5241352623301e-05,71.46010613441467
15,6.063180860191001,6.038532865706908,0.8215999959809932,2.8662279303498917,2.842288737690174,0.7979729864172478,9.455032620941843e-05,70.6582441329956
16,5.805527518417791,5.780909959180066,0.8205854790267326,3.227796942910802,3.20374477655768,0.8017384428077682,9.381533400219321e-05,71.28760814666748
17,5.816541330412491,5.791933280263085,0.8202683739038493,3.0801514522215845,3.056251687701722,0.7966585762135068,9.303710135019722e-05,70.68970942497253
18,5.817887866729684,5.7932996260503,0.8196076186860102,3.269980445680892,3.2456316077499574,0.8116278551364724,9.22163962751008e-05,70.86205768585205
19,5.872128973359375,5.84755304750461,0.8191973253772885,3.4165759398479256,3.3925389140539495,0.8012344840021949,9.135402871372814e-05,70.72577118873596
20,5.813791917309949,5.78922264068966,0.8189756275333254,2.9586879313138237,2.9345874303046786,0.8033495714909534,9.045084971874742e-05,70.78588080406189
21,5.906421735286246,5.881850075841942,0.8190551282563158,3.069475260128257,3.0455436443095185,0.7977205243417644,8.950775061878456e-05,71.32758855819702
22,5.762421078287624,5.737835908924189,0.8195055718821553,3.0363886822896697,3.0123736968449752,0.8005001522476707,8.852566213878951e-05,71.08482813835144
23,5.855335296760523,5.830734333676943,0.820032827548838,2.9551557372347124,2.931238355978784,0.7972470769495702,8.750555348152303e-05,70.45473432540894
24,5.798651398074429,5.774095246995594,0.818538618322978,3.0140015319791558,2.9900712942498657,0.7976743105653311,8.644843137107063e-05,70.78384327888489
25,5.789490669583118,5.764935010852818,0.8185216583271661,3.6830619339912323,3.6591383831756077,0.7974524776132468,8.535533905932742e-05,72.36027693748474
26,5.819291825468929,5.7947162438486,0.8191856771833089,3.0897239413048267,3.0656109840580577,0.8037650396302116,8.422735529643448e-05,71.40198802947998
27,5.7793898669278425,5.754830443937751,0.8186464548475245,3.024692806514233,3.0007736493702764,0.7973049709096125,8.306559326618263e-05,71.62924933433533
28,5.77822728081708,5.753640939159848,0.8195447176640193,2.9432372352873974,2.919213152226478,0.8008034695950358,8.187119948743452e-05,71.212886095047
29,5.706493096135053,5.681925863482986,0.8189074812990856,2.84637581456525,2.822251185360583,0.8041534365967731,8.064535268264887e-05,70.90994048118591
30,5.746075433560056,5.721502843928692,0.8190865576596322,2.953742318432964,2.9297100006837113,0.8010769858471168,7.938926261462371e-05,70.67736792564392
31,5.7469735281648955,5.7223975139170475,0.819199888709914,3.0429556879639983,3.0190560732778233,0.7966529242493828,7.810416889260659e-05,72.20161437988281
32,5.731957688559361,5.70736860947083,0.8196358093018893,3.066447540369762,3.0423161387031836,0.8043810996243441,7.679133974894988e-05,71.59521961212158
33,5.704651905070755,5.680109949866741,0.8180650569033501,3.247216184603725,3.2232382155585757,0.7992655031019062,7.545207078751862e-05,71.45623517036438
34,5.646191318449066,5.621644708674817,0.8182196374842673,2.9430830593215167,2.9189876486470907,0.803180166320223,7.408768370508582e-05,71.49118089675903
35,5.704800701781178,5.680268211867474,0.8177492035328212,2.9126004484709203,2.888582892004599,0.8005850612567229,7.26995249869774e-05,72.06815218925476
36,5.720500653720454,5.695965397754419,0.8178419447766295,3.5733884644662046,3.549308571648357,0.8026636879739419,7.12889645782537e-05,72.21665525436401
37,5.712748283793375,5.688207169967884,0.8180374477667786,2.9432841771454643,2.9192891196101973,0.7998356524921388,6.985739453173908e-05,71.35436272621155
38,5.6811535043566765,5.6566333674582445,0.8173370653415558,3.0250427177546286,3.0010174519181745,0.8008417003311454,6.840622763423397e-05,71.51011490821838
39,5.693271480384262,5.668742578345117,0.8176300631974234,3.120100510573111,3.096072289882866,0.8009407156220452,6.693689601226464e-05,71.09454107284546
40,5.644878738558579,5.62033722605971,0.8180504832395001,2.80949796256768,2.785463457447547,0.801150804224897,6.545084971874744e-05,72.74277472496033
41,5.686197248833016,5.66169003199629,0.8169070275107012,3.164232268120134,3.1400240959254937,0.8069382790272294,6.394955530196154e-05,72.66547703742981
42,5.608548511370497,5.584025549135202,0.8174319759833022,3.042074650457377,3.0180025016928997,0.8024045037978443,6.24344943582428e-05,72.3999695777893
43,5.773057601575363,5.7485568580042505,0.8166918649439432,3.200788149654917,3.1766189123908277,0.8056412714603017,6.0907162069827195e-05,72.44458723068237
44,5.629877495310908,5.605369090891247,0.8169468984874715,3.0172886642433325,2.993207924895904,0.8026898242044699,5.93690657292863e-05,72.42179799079895
45,5.655976567949991,5.631483294658438,0.8164427732521127,3.3227182973000344,3.2985972694665078,0.8040338679102753,5.7821723252011606e-05,71.95583486557007
46,5.610372824819725,5.585878612124392,0.8164736206029907,3.2317292677949494,3.207631151712116,0.8032700721654246,5.6266661678215284e-05,71.93656730651855
47,5.616871861871688,5.59237695970342,0.8164968614386551,3.3161498397889653,3.2921104661196163,0.8013119063149277,5.470541566592577e-05,72.99360346794128
48,5.612974944611125,5.588475693547795,0.8166420533704248,3.2002113638073855,3.17619624958226,0.8005036748017214,5.313952597646573e-05,73.82670593261719
49,5.611267011660243,5.58677890894035,0.8162704036449451,3.0321277361172148,3.008087164987237,0.8013523430267817,5.1570537953906474e-05,73.0937430858612
50,5.614500067482557,5.590009424892833,0.8163545609418664,2.8939867154494863,2.869900641579691,0.8028690460502562,5.0000000000000057e-05,72.73470211029053
51,5.600934201043677,5.576450688376435,0.8161169169863468,2.9158712744280697,2.89166266051345,0.8069531695552538,4.842946204609364e-05,72.99539351463318
52,5.575750310651833,5.551264810361797,0.8161833488333263,3.3986809340787283,3.3746453947864237,0.8011840445278271,4.686047402353438e-05,72.52915525436401
53,5.5946833234397335,5.57020527090265,0.8159352899190536,3.013415188195663,2.9894142398815435,0.8000323184779944,4.529458433407433e-05,72.36681985855103
54,5.580740786614515,5.556258380967941,0.8160806435320417,3.0805378272000024,3.0564719425709046,0.8021963765757834,4.3733338321784836e-05,73.4965672492981
55,5.53414808003771,5.509686848274933,0.8153742252364984,3.562091388879269,3.538019840767789,0.8023841363179505,4.21782767479885e-05,72.01102113723755
56,5.548229329417473,5.523752477418312,0.8158950048326338,2.983830148563689,2.9598223444763745,0.8002601151319475,4.0630934270713814e-05,73.2135500907898
57,5.5536861204694565,5.529224259337819,0.8153950783707791,3.3681555097306646,3.3442265417054697,0.7976309378865379,3.909283793017293e-05,72.29445362091064
58,5.559687685556329,5.535225093317309,0.815418942276707,3.2455670911329353,3.2214924522257506,0.8024877333305717,3.75655056417573e-05,72.13933253288269
59,5.53974752110911,5.515273525354803,0.815799563564467,2.9951110695493686,2.971111372956832,0.7999904444905891,3.605044469803859e-05,71.50483226776123
