Timestamp,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,ul_turbo_iters
1.66922E+12,0,0,0,0,0,0,6.71429,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,0,0,0,0,0,0,6.66667,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,0,0,0,0,0,0,6.71429,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,0,0,0,0,0,0,6.83333,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,8,4,0,0.001568,1,0,6.83333,13.2857,7,0,0.1,2,0,31.6924,31,3,3,1
1.66922E+12,5.28571,7,0,0.002368,2,0,6.83333,15.2857,42,0,0.58496,12,0,25.999,31,6,6,1
1.66922E+12,0,0,0,0,0,0,7,15.8158,38,0,0.58224,11,0,25.2592,31,0,0,1
1.66922E+12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,0,0,0,0,0,0,7,12.1429,7,0,0.1,2,0,31.685,31,0,0,1
1.66922E+12,12,4,0,0.002336,1,0,7,15.8158,38,0,0.606208,11,0,25.2341,31,3,3,1
1.66922E+12,11,65,0,0.121344,19,0,7,15.2292,48,0,0.64304,14,0,26.4794,31,123,159,1
1.66922E+12,9.6,15,0,0.007712,4,0,7,12.1429,7,0,0.1,2,0,31.6753,31,12,12,1
1.66922E+12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,0,0,0,0,0,0,6.83333,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,0,0,0,0,0,0,6.71429,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,0,0,0,0,0,0,6.33333,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,0,0,0,0,0,0,6.66667,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,0,0,0,0,0,0,6.57143,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,0,0,0,0,0,0,6.83333,0,0,0,0,0,0,0,0,0,0,0
1.66922E+12,0,0,0,0,0,0,6.83333,15.8158,38,0,0.585312,11,0,25.0099,31,0,0,1
1.66922E+12,11.6364,11,0,0.006688,3,0,7,14.9167,48,0,0.604736,14,0,26.7189,31,9,9,1
1.66922E+12,10.0714,14,0,0.007712,4,0,7,0,3,0,0.1,1,0,0,0,12,12,0
1.66922E+12,0,0,0,0,0,0,7,15.8158,38,0,0.58224,11,0,25.67,31,0,0,1
1.66922E+12,11.5714,7,0,0.004352,2,0,7,12.1429,7,0,0.1,2,0,32.0316,31,6,6,1
1.66922E+12,8.92857,14,0,0.006944,4,0,6.83333,12.7143,14,0,0.1,4,0,32.5096,31,12,12,1
1.66922E+12,12,4,0,0.002336,1,0,6.42857,0,0,0,0,0,0,0,0,3,3,0
1.66922E+12,0,0,0,0,0,0,6.83333,0,0,0,0,0,0,0,0,0,0,0
