Timestamp,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,ul_turbo_iters
1669219161320,4.42857,7,0,0.001664,2,0,5,13.2857,7,0,0.1,2,0,35.0874,31,6,6,1
1669219161570,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219161820,0,0,0,0,0,0,5.16667,0,0,0,0,0,0,0,0,0,0,0
1669219162070,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219162320,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219162570,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219162820,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219163070,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219163320,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219163570,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219163820,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219164070,0,0,0,0,0,0,4.83333,0,0,0,0,0,0,0,0,0,0,0
1669219164320,0,0,0,0,0,0,4.85714,0,0,0,0,0,0,0,0,0,0,0
1669219164570,0,0,0,0,0,0,4.83333,0,0,0,0,0,0,0,0,0,0,0
1669219164820,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219165070,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219165320,0,0,0,0,0,0,5.14286,0,0,0,0,0,0,0,0,0,0,0
1669219165570,0,0,0,0,0,0,5.16667,0,0,0,0,0,0,0,0,0,0,0
1669219165820,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219166070,0,0,0,0,0,0,4.83333,0,0,0,0,0,0,0,0,0,0,0
1669219166320,4.42857,7,0,0.001664,2,0,5,13.2857,7,0,0.1,2,0,34.0507,31,6,6,1
1669219166570,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219166820,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219167070,0,0,0,0,0,0,5.16667,0,3,0,0.1,1,0,0,31,0,0,0
1669219167320,0,0,0,0,0,0,5.14286,0,0,0,0,0,0,0,0,0,0,0
1669219167570,0,0,0,0,0,0,5.16667,0,0,0,0,0,0,0,0,0,0,0
1669219167820,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219168070,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0
1669219168320,0,0,0,0,0,0,5.14286,0,0,0,0,0,0,0,0,0,0,0
1669219168570,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0
1669219168820,0,0,0,0,0,0,5.33333,0,0,0,0,0,0,0,0,0,0,0
1669219169070,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219169320,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219169570,0,0,0,0,0,0,5.16667,0,0,0,0,0,0,0,0,0,0,0
1669219169820,0,0,0,0,0,0,5.16667,0,0,0,0,0,0,0,0,0,0,0
1669219170070,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219170320,0,0,0,0,0,0,5.28571,0,0,0,0,0,0,0,0,0,0,0
1669219170570,0,0,0,0,0,0,5.16667,0,0,0,0,0,0,0,0,0,0,0
1669219170820,0,0,0,0,0,0,5.16667,0,0,0,0,0,0,0,0,0,0,0
1669219171070,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219171320,4.42857,7,0,0.001664,2,0,5.28571,13.2857,7,0,0.1,2,0,34.4634,31,6,6,1
1669219171570,0,0,0,0,0,0,5.16667,0,0,0,0,0,0,0,0,0,0,0
1669219171820,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219172070,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219172320,0,0,0,0,0,0,5.14286,0,0,0,0,0,0,0,0,0,0,0
1669219172570,0,0,0,0,0,0,5.33333,0,0,0,0,0,0,0,0,0,0,0
1669219172820,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0
1669219173070,0,0,0,0,0,0,5.83333,0,0,0,0,0,0,0,0,0,0,0
1669219173320,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219173570,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219173820,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219174070,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219174320,0,0,0,0,0,0,6.42857,0,0,0,0,0,0,0,0,0,0,0
1669219174570,0,0,0,0,0,0,6.16667,0,0,0,0,0,0,0,0,0,0,0
1669219174820,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219175070,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219175320,0,0,0,0,0,0,5.85714,0,0,0,0,0,0,0,0,0,0,0
1669219175570,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219175820,0,0,0,0,0,0,5.83333,0,0,0,0,0,0,0,0,0,0,0
1669219176070,0,0,0,0,0,0,5.83333,0,0,0,0,0,0,0,0,0,0,0
1669219176320,8,4,0,0.001568,1,0,6,13.2857,7,0,0.1,2,0,35.3144,31,3,3,1
1669219176570,0,0,0,0,0,0,5.83333,0,0,0,0,0,0,0,0,0,0,0
1669219176820,0,0,0,0,0,0,5.83333,0,0,0,0,0,0,0,0,0,0,0
1669219177070,0,0,0,0,0,0,5.83333,0,0,0,0,0,0,0,0,0,0,0
1669219177320,0,0,0,0,0,0,5.85714,0,0,0,0,0,0,0,0,0,0,0
1669219177570,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219177820,0,0,0,0,0,0,5.83333,0,0,0,0,0,0,0,0,0,0,0
1669219178070,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0
1669219178320,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219178570,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219178820,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219179070,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1669219179320,0,0,0,0,0,0,5.71429,0,0,0,0,0,0,0,0,0,0,0
1669219179570,0,0,0,0,0,0,5.83333,0,0,0,0,0,0,0,0,0,0,0
1669219179820,0,0,0,0,0,0,5.83333,0,0,0,0,0,0,0,0,0,0,0
1669219180070,0,0,0,0,0,0,5.33333,0,0,0,0,0,0,0,0,0,0,0
1669219180320,0,0,0,0,0,0,5.28571,0,0,0,0,0,0,0,0,0,0,0
1669219180570,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219180820,0,0,0,0,0,0,5.16667,0,0,0,0,0,0,0,0,0,0,0
1669219181070,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219181320,4.42857,7,0,0.001664,2,0,5.14286,13.2857,7,0,0.1,2,0,34.8095,31,6,6,1
1669219181570,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219181820,0,0,0,0,0,0,5.16667,0,0,0,0,0,0,0,0,0,0,0
1669219182070,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1669219182320,0,0,0,0,0,0,5.28571,0,0,0,0,0,0,0,0,0,0,0
1669219182570,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0
1669219182820,0,0,0,0,0,0,5.33333,0,0,0,0,0,0,0,0,0,0,0
1669219183070,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0
