[INFO] Start training with config:
{
  "data_root": "/home/cislab301b/peter/ORAN-Traffic-Prediction/Dataset/colosseum-oran-coloran-dataset",
  "train_dirs": [
    "tr0-26"
  ],
  "test_dirs": [
    "tr27"
  ],
  "slice_type": "urllc",
  "val_split": 0.2,
  "sequence_length": 15,
  "horizon": 1,
  "chunk_size": 64,
  "batch_size": 1024,
  "epochs": 500,
  "learning_rate": 0.001,
  "weight_decay": 0.0,
  "scheduler": "none",
  "patience": 500,
  "seed": 42,
  "rnn_type": "bilstm",
  "lstm_hidden": 128,
  "lstm_layers": 2,
  "lstm_dropout": 0.2,
  "d_model": 128,
  "n_heads": 4,
  "n_layers": 3,
  "dim_feedforward": 512,
  "vit_dropout": 0.2,
  "lambda_smooth": 0.1,
  "num_workers": 0,
  "device": "auto",
  "output_dir": "/home/cislab301b/peter/ORAN-Traffic-Prediction/model8/results/urllc_20260413_225845"
}
[INFO] Device: cuda
[INFO] Slice=urllc | train_csv=1896 | test_csv=67
[INFO] Loading train CSV files...
[INFO] Loading test CSV files...
[INFO] Split train/val by CSV: train=1517 val=379
[INFO] Train feature non-zero ratio:
  - dl_buffer: 0.0902
  - ul_buffer: 0.0038
  - tx_brate: 0.8815
  - rx_brate: 0.2698
  - ul_sinr: 0.2542
  - dl_mcs: 0.8812
  - ul_mcs: 0.2542
  - phr: 0.2505
  - tx_pkts: 0.8815
  - rx_pkts: 0.3007
  - ul_rssi: 0.0000
  - dl_cqi: 1.0000
  - rx_errors_ul: 0.1798
  - dl_n_samples: 0.8815
  - ul_n_samples: 0.3007
[INFO] Windows | train=3068069 val=774066 test=137173
/home/cislab301b/miniforge3/envs/peter/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
[Epoch 029] train=3.162067 (main=3.080570, smooth=0.814966) | val=3.050035 (main=2.970817, smooth=0.792174) | lr=1.000000e-03 | time=96.86s
[Epoch 030] train=3.217650 (main=3.135842, smooth=0.818085) | val=1.413605 (main=1.334249, smooth=0.793562) | lr=1.000000e-03 | time=98.68s
[Epoch 031] train=3.221003 (main=3.139160, smooth=0.818428) | val=1.929752 (main=1.850585, smooth=0.791661) | lr=1.000000e-03 | time=97.69s
[Epoch 032] train=3.208399 (main=3.126643, smooth=0.817560) | val=1.543889 (main=1.464779, smooth=0.791098) | lr=1.000000e-03 | time=95.73s
[Epoch 033] train=3.195965 (main=3.114250, smooth=0.817153) | val=1.449833 (main=1.370719, smooth=0.791146) | lr=1.000000e-03 | time=102.21s
[Epoch 034] train=3.186626 (main=3.104996, smooth=0.816300) | val=1.659406 (main=1.580284, smooth=0.791214) | lr=1.000000e-03 | time=99.97s
[Epoch 035] train=3.166663 (main=3.085049, smooth=0.816143) | val=1.598380 (main=1.519370, smooth=0.790099) | lr=1.000000e-03 | time=95.49s
[Epoch 036] train=3.171209 (main=3.089361, smooth=0.818480) | val=1.476643 (main=1.397749, smooth=0.788939) | lr=1.000000e-03 | time=95.98s
[Epoch 037] train=3.223563 (main=3.141565, smooth=0.819984) | val=1.678859 (main=1.599833, smooth=0.790264) | lr=1.000000e-03 | time=98.03s
[Epoch 038] train=3.210108 (main=3.127987, smooth=0.821203) | val=1.464104 (main=1.384489, smooth=0.796144) | lr=1.000000e-03 | time=96.57s
[Epoch 039] train=3.310643 (main=3.228303, smooth=0.823396) | val=1.487730 (main=1.408394, smooth=0.793355) | lr=1.000000e-03 | time=97.27s
[Epoch 040] train=3.245975 (main=3.163425, smooth=0.825500) | val=1.709404 (main=1.630074, smooth=0.793301) | lr=1.000000e-03 | time=100.29s
